domanialite,arrondissement,libelle_francais,genre,espece,circonference_cm,hauteur_m,stade_de_developpement
6,12,4,4,4,125.0,12.0,3
3,7,10,10,12,230.0,8.0,3
2,1,4,4,4,295.0,25.0,4
1,3,4,4,4,165.0,20.0,3
1,8,18,17,21,65.0,6.0,2
1,6,4,4,4,70.0,10.0,2
1,6,51,46,67,140.0,20.0,3
1,22,4,4,4,70.0,9.0,2
1,12,4,4,28,120.0,10.0,3
1,15,4,4,4,40.0,6.0,1
1,8,6,6,64,60.0,6.0,2
1,12,2,2,2,185.0,18.0,3
2,13,29,28,148,35.0,5.0,1
1,4,1,1,16,165.0,12.0,3
1,11,5,5,43,65.0,8.0,2
1,18,27,26,34,65.0,10.0,1
2,2,130,108,233,65.0,6.0,4
3,16,1,1,16,131.0,15.0,3
1,3,6,6,51,35.0,5.0,1
2,7,1,1,1,150.0,10.0,3
1,12,5,5,29,55.0,8.0,3
1,14,6,6,30,110.0,10.0,3
1,1,4,4,4,145.0,15.0,2
1,5,1,1,1,109.0,10.0,3
1,1,6,6,30,55.0,5.0,1
6,18,21,20,24,10.0,2.0,1
1,6,4,4,14,85.0,15.0,3
4,13,4,4,4,103.0,14.0,3
1,12,4,4,4,75.0,10.0,2
1,1,5,5,5,130.0,12.0,2
1,4,5,5,5,140.0,14.0,3
1,7,7,7,7,45.0,6.0,1
3,17,187,10,424,99.0,6.0,3
1,7,85,74,116,30.0,4.0,1
6,17,21,20,24,10.0,1.0,1
1,4,2,2,2,100.0,12.0,3
1,5,2,2,2,133.0,13.0,3
1,13,4,4,4,101.0,15.0,3
2,5,3,3,3,45.0,4.0,2
1,13,4,4,4,215.0,23.0,4
1,7,1,1,1,75.0,8.0,2
1,5,2,2,2,174.0,20.0,4
1,12,7,7,7,95.0,10.0,3
1,10,4,4,18,199.0,19.0,3
1,5,2,2,2,69.0,12.0,2
3,16,20,19,23,55.0,5.0,2
1,3,24,23,26,35.0,5.0,1
1,5,4,4,4,256.0,22.0,4
1,2,2,2,14,152.0,15.0,3
1,6,4,4,4,35.0,5.0,1
1,1,19,18,22,60.0,6.0,1
2,2,1,1,70,60.0,5.0,3
1,1,4,4,4,165.0,14.0,3
3,16,4,4,18,128.0,25.0,3
1,4,2,2,2,155.0,7.0,3
6,6,42,25,14,95.0,8.0,3
2,5,29,28,404,15.0,2.0,1
1,6,4,4,4,185.0,20.0,3
1,20,4,4,4,88.0,14.0,3
1,8,2,2,2,155.0,10.0,3
1,9,4,4,4,119.0,20.0,2
1,6,5,5,5,80.0,10.0,3
1,2,4,4,4,138.0,17.0,3
1,17,4,4,4,135.0,15.0,3
1,2,2,2,2,110.0,15.0,3
1,13,1,1,15,20.0,3.0,1
1,11,5,5,5,75.0,9.0,2
2,9,23,22,11,158.0,15.0,3
1,2,1,1,15,98.0,9.0,3
4,5,7,7,7,105.0,16.0,3
3,7,3,3,3,55.0,9.0,3
1,7,5,5,5,35.0,6.0,1
2,13,83,72,113,15.0,5.0,1
2,1,15,15,19,55.0,5.0,1
1,11,4,4,4,200.0,20.0,3
1,9,93,57,59,30.0,4.0,1
1,18,8,8,10,45.0,5.0,1
2,6,2,2,2,140.0,18.0,3
1,13,5,5,27,73.0,9.0,2
3,1,5,5,29,105.0,10.0,2
1,6,7,7,7,50.0,7.0,2
2,7,22,21,25,145.0,12.0,3
1,15,4,4,4,95.0,10.0,3
1,18,7,7,7,65.0,10.0,2
5,7,22,21,25,135.0,15.0,3
2,7,16,10,20,95.0,8.0,2
1,17,44,40,53,33.0,6.0,1
1,21,4,4,4,100.0,14.0,3
1,7,40,37,49,80.0,15.0,3
1,2,2,2,2,76.0,10.0,2
1,7,5,5,5,95.0,12.0,3
3,16,46,42,56,45.0,4.0,1
1,3,4,4,14,165.0,15.0,3
1,8,6,6,64,95.0,8.0,3
2,17,38,35,47,39.0,6.0,1
1,1,4,4,4,110.0,10.0,3
1,11,4,4,4,200.0,16.0,3
1,8,2,2,2,110.0,10.0,3
2,2,5,5,5,39.0,6.0,1
2,5,1,1,1,175.0,19.0,3
1,1,7,7,7,60.0,5.0,1
1,13,44,40,53,46.0,9.0,2
1,6,5,5,5,75.0,10.0,3
1,7,4,4,4,60.0,10.0,2
2,8,5,5,5,175.0,10.0,4
1,8,2,2,2,85.0,12.0,2
3,16,1,1,1,33.0,6.0,1
1,18,2,2,14,95.0,10.0,3
4,5,5,5,43,82.0,12.0,3
1,9,28,27,50,71.0,9.0,3
1,10,2,2,2,195.0,18.0,3
1,5,4,4,4,26.0,7.0,1
2,11,1,1,61,10.0,3.0,1
1,5,2,2,2,202.0,20.0,4
3,16,3,3,3,135.0,5.0,3
3,16,18,17,21,100.0,10.0,2
1,12,5,5,27,25.0,5.0,1
2,17,24,23,26,21.0,4.0,1
1,11,14,14,5,45.0,6.0,1
1,5,2,2,2,115.0,10.0,3
3,13,1,1,1,235.0,17.0,4
2,13,52,20,122,37.0,6.0,1
1,8,7,7,7,85.0,12.0,2
2,4,7,7,7,90.0,8.0,3
3,19,4,4,18,165.0,22.0,3
3,16,4,4,18,248.0,28.0,4
2,17,26,25,40,55.0,5.0,1
1,8,29,28,14,110.0,10.0,3
1,3,2,2,2,35.0,5.0,1
1,1,40,37,49,150.0,15.0,2
1,11,5,5,27,35.0,5.0,1
2,12,86,8,120,10.0,3.0,1
2,8,31,29,37,20.0,5.0,1
2,5,1,1,1,130.0,12.0,3
1,12,8,8,10,50.0,7.0,3
2,13,2,2,8,45.0,6.0,1
1,6,7,7,7,95.0,10.0,3
3,16,53,47,71,20.0,5.0,1
1,10,5,5,29,130.0,20.0,3
1,2,4,4,4,140.0,18.0,3
1,18,4,4,4,50.0,5.0,2
1,4,4,4,4,30.0,6.0,1
1,8,7,7,7,70.0,10.0,2
6,23,4,4,4,115.0,17.0,3
1,1,4,4,4,120.0,15.0,2
1,18,18,17,21,90.0,10.0,2
2,4,7,7,7,80.0,9.0,3
1,5,5,5,5,70.0,10.0,2
2,11,1,1,1,60.0,10.0,3
4,7,59,51,75,85.0,5.0,1
2,1,5,5,43,73.0,13.0,3
6,7,54,48,72,40.0,4.0,2
2,17,8,8,10,103.0,11.0,3
1,11,5,5,43,120.0,10.0,3
1,2,2,2,2,28.0,4.0,1
1,11,41,38,11,105.0,15.0,2
1,3,4,4,4,55.0,10.0,2
3,7,6,6,30,65.0,4.0,3
1,22,4,4,4,115.0,18.0,3
1,21,38,35,47,88.0,9.0,3
2,7,24,23,26,35.0,6.0,2
1,9,4,4,4,57.0,11.0,3
2,17,7,7,7,129.0,9.0,3
1,17,4,4,4,95.0,12.0,3
1,3,6,6,30,65.0,5.0,2
1,12,19,18,22,50.0,8.0,2
6,18,21,20,24,5.0,2.0,1
1,8,13,13,17,40.0,5.0,2
1,7,4,4,4,80.0,10.0,3
1,7,2,2,2,25.0,5.0,1
3,7,2,2,2,235.0,20.0,3
6,12,93,57,59,15.0,2.0,1
2,9,52,20,424,55.0,6.0,1
1,14,24,23,26,55.0,10.0,3
1,13,4,4,4,20.0,5.0,1
1,18,22,21,25,95.0,10.0,2
2,6,22,21,25,160.0,15.0,3
1,10,4,4,18,184.0,19.0,3
1,7,25,24,31,80.0,10.0,3
1,4,4,4,28,145.0,20.0,3
1,6,7,7,7,165.0,18.0,3
2,7,9,9,33,75.0,10.0,3
1,3,5,5,5,125.0,15.0,3
2,9,26,25,40,58.0,5.0,2
1,23,7,7,7,65.0,8.0,1
1,17,7,7,7,95.0,10.0,2
4,6,2,2,187,141.0,13.0,3
2,5,1,1,14,36.0,7.0,1
1,1,2,2,187,115.0,8.0,2
1,5,4,4,4,195.0,18.0,3
1,5,59,51,75,176.0,14.0,3
1,4,4,4,28,160.0,25.0,3
3,19,49,25,63,20.0,3.0,1
3,16,34,31,91,18.0,3.0,1
1,13,1,1,15,20.0,5.0,1
1,12,1,1,16,70.0,8.0,3
3,7,1,1,1,100.0,16.0,3
1,4,2,2,2,155.0,20.0,3
5,12,9,9,45,160.0,10.0,3
1,5,2,2,8,50.0,7.0,1
1,8,4,4,28,185.0,25.0,3
3,24,47,43,57,45.0,9.0,3
1,23,52,20,81,20.0,5.0,1
1,13,5,5,27,100.0,16.0,2
1,11,2,2,2,115.0,11.0,1
1,15,4,4,4,85.0,8.0,3
1,6,18,17,21,95.0,8.0,3
2,18,7,7,7,70.0,10.0,2
2,5,50,45,66,40.0,5.0,1
4,13,4,4,4,91.0,9.0,2
2,3,50,45,66,95.0,10.0,3
1,11,4,4,4,125.0,18.0,3
1,13,16,10,20,31.0,6.0,1
2,3,45,41,27,100.0,10.0,3
2,7,5,5,27,80.0,11.0,2
1,8,6,6,51,115.0,10.0,3
1,8,5,5,27,60.0,7.0,2
6,7,5,5,5,85.0,10.0,3
1,4,29,28,14,25.0,10.0,1
1,5,4,4,4,75.0,12.0,2
3,16,3,3,3,180.0,10.0,3
1,1,16,10,20,65.0,6.0,1
1,5,27,26,95,20.0,5.0,1
1,4,5,5,5,160.0,14.0,3
1,5,18,17,21,94.0,9.0,3
1,12,7,7,7,95.0,10.0,3
1,22,2,2,2,75.0,10.0,2
1,17,65,56,88,75.0,8.0,3
1,22,2,2,2,235.0,20.0,4
2,5,2,2,2,148.0,12.0,3
1,2,2,2,2,153.0,15.0,3
1,1,13,13,85,20.0,3.0,1
1,12,1,1,16,85.0,12.0,3
2,12,26,25,107,25.0,4.0,1
1,4,4,4,4,60.0,8.0,2
1,11,4,4,4,150.0,16.0,2
1,3,7,7,7,110.0,10.0,3
1,12,5,5,29,70.0,10.0,3
6,17,11,11,13,50.0,7.0,2
3,7,2,2,2,35.0,6.0,2
1,6,29,28,424,75.0,8.0,2
1,17,26,25,237,73.0,6.0,3
6,13,1,1,1,141.0,15.0,3
1,3,4,4,4,90.0,10.0,2
1,4,4,4,4,110.0,14.0,3
2,11,6,6,9,150.0,27.0,3
1,5,2,2,2,155.0,18.0,3
1,12,2,2,2,75.0,10.0,3
1,13,4,4,4,156.0,15.0,3
1,23,4,4,4,90.0,15.0,3
1,11,5,5,43,40.0,7.0,1
7,18,53,47,71,135.0,10.0,3
2,6,38,35,47,165.0,15.0,3
3,16,1,1,1,225.0,20.0,4
1,13,19,18,22,45.0,7.0,2
1,22,4,4,4,20.0,7.0,1
3,7,5,5,5,105.0,10.0,3
1,3,4,4,4,100.0,10.0,3
1,6,21,20,24,20.0,1.0,1
1,4,4,4,28,90.0,12.0,3
1,4,4,4,28,100.0,18.0,3
1,11,4,4,4,160.0,14.0,3
2,2,3,3,3,110.0,10.0,3
1,22,4,4,4,50.0,10.0,1
1,18,4,4,4,80.0,10.0,3
1,4,4,4,28,135.0,19.0,3
3,19,26,25,40,10.0,3.0,1
7,17,20,19,23,18.0,3.0,1
1,7,7,7,7,70.0,8.0,2
4,13,27,26,95,96.0,17.0,3
1,7,52,20,81,25.0,6.0,1
3,7,4,4,4,35.0,8.0,2
1,5,2,2,2,171.0,12.0,4
2,11,22,21,25,180.0,14.0,3
1,11,41,38,11,110.0,14.0,2
1,13,7,7,7,114.0,9.0,3
2,4,5,5,5,75.0,12.0,2
1,13,7,7,7,155.0,20.0,3
1,8,4,4,4,40.0,8.0,1
5,6,15,15,19,20.0,4.0,1
1,1,16,10,20,45.0,6.0,1
6,17,1,1,16,97.0,15.0,3
1,3,5,5,5,95.0,10.0,3
3,7,1,1,16,110.0,10.0,3
2,5,149,124,292,5.0,1.0,1
2,2,9,9,248,131.0,8.0,3
1,11,1,1,16,75.0,12.0,3
1,12,2,2,2,75.0,10.0,3
1,12,7,7,7,55.0,8.0,2
1,4,5,5,5,80.0,10.0,3
1,12,4,4,4,60.0,10.0,3
2,7,5,5,5,120.0,17.0,3
5,12,1,1,16,10.0,2.0,1
2,6,187,23,53,18.0,3.0,1
1,12,5,5,43,60.0,7.0,3
6,3,5,5,14,50.0,7.0,2
1,17,5,5,163,75.0,8.0,3
1,25,4,4,4,40.0,5.0,1
1,10,5,5,27,55.0,7.0,1
1,6,18,17,21,25.0,3.0,1
1,4,2,2,8,55.0,7.0,2
1,12,5,5,5,95.0,10.0,3
1,8,89,76,124,16.0,3.0,1
1,10,5,5,29,58.0,9.0,1
2,13,14,14,5,91.0,10.0,3
1,8,18,17,21,95.0,10.0,3
3,19,1,1,16,26.0,5.0,1
1,18,4,4,4,110.0,15.0,3
6,7,26,25,40,55.0,3.0,2
1,9,4,4,4,135.0,13.0,3
1,12,4,4,4,115.0,10.0,3
1,6,7,7,7,55.0,7.0,1
1,4,5,5,5,115.0,11.0,3
1,12,4,4,4,140.0,12.0,3
1,7,4,4,4,205.0,20.0,3
2,4,4,4,4,240.0,12.0,4
1,13,4,4,4,130.0,16.0,3
1,15,14,14,5,60.0,5.0,2
1,3,7,7,7,125.0,10.0,3
1,2,2,2,2,74.0,10.0,2
1,18,7,7,7,140.0,15.0,3
1,6,2,2,2,40.0,6.0,1
1,7,5,5,5,30.0,6.0,1
1,8,7,7,7,35.0,5.0,1
1,4,2,2,8,50.0,6.0,2
1,4,14,14,5,180.0,8.0,3
1,12,2,2,2,70.0,10.0,3
1,5,4,4,4,147.0,18.0,3
1,12,5,5,5,95.0,12.0,3
1,7,4,4,4,265.0,20.0,4
1,8,40,37,49,50.0,8.0,2
2,17,26,25,40,28.0,4.0,1
1,8,5,5,5,90.0,10.0,3
1,8,18,17,21,80.0,8.0,2
3,16,6,6,6,50.0,8.0,1
1,18,7,7,7,95.0,10.0,2
4,5,10,10,12,80.0,6.0,2
1,6,7,7,7,130.0,16.0,4
1,5,4,4,4,80.0,12.0,2
2,17,9,9,33,27.0,3.0,1
1,3,4,4,4,105.0,10.0,3
1,3,2,2,14,60.0,5.0,2
1,5,4,4,4,219.0,20.0,4
3,16,1,1,1,180.0,15.0,3
1,1,7,7,7,80.0,8.0,2
5,7,1,1,82,115.0,12.0,3
1,2,4,4,4,134.0,17.0,3
2,5,76,65,101,61.0,4.0,2
6,21,21,20,24,10.0,2.0,1
1,4,5,5,5,110.0,10.0,3
6,7,18,17,21,45.0,10.0,2
2,2,46,42,56,37.0,5.0,1
1,3,2,2,2,100.0,10.0,3
1,13,13,13,17,41.0,7.0,1
1,5,4,4,4,242.0,23.0,4
1,4,2,2,2,115.0,18.0,3
1,6,23,22,80,65.0,15.0,2
1,8,4,4,28,85.0,10.0,2
1,18,4,4,4,105.0,15.0,3
2,13,4,4,4,115.0,17.0,3
1,6,66,57,59,25.0,5.0,1
1,13,4,4,4,100.0,10.0,2
1,8,4,4,28,30.0,5.0,2
1,3,4,4,4,130.0,15.0,3
1,7,83,72,113,30.0,3.0,1
2,3,4,4,4,110.0,10.0,2
1,5,2,2,2,95.0,10.0,3
1,8,4,4,4,80.0,10.0,2
6,13,2,2,2,125.0,12.0,3
1,10,2,2,2,180.0,12.0,3
6,7,56,20,14,80.0,4.0,3
1,5,4,4,4,112.0,15.0,3
1,8,4,4,28,90.0,12.0,3
1,15,5,5,29,125.0,15.0,3
3,16,10,10,12,129.0,17.0,3
6,23,2,2,2,55.0,8.0,1
3,16,46,42,56,55.0,4.0,2
4,1,59,51,75,60.0,5.0,2
1,2,4,4,4,66.0,15.0,3
4,13,29,28,148,42.0,7.0,2
2,2,14,14,5,68.0,11.0,2
1,3,4,4,4,145.0,15.0,3
1,3,187,1,424,35.0,5.0,2
6,23,4,4,4,45.0,7.0,1
1,2,29,28,424,60.0,7.0,2
1,7,78,25,102,90.0,10.0,3
1,5,7,7,7,87.0,10.0,3
2,11,1,1,1,190.0,23.0,3
2,7,107,89,178,25.0,4.0,1
1,2,18,17,21,40.0,6.0,2
2,8,95,80,141,100.0,10.0,3
1,11,2,2,14,215.0,22.0,3
7,8,19,18,22,30.0,5.0,1
1,11,5,5,5,110.0,11.0,1
5,3,1,1,1,115.0,8.0,3
1,1,7,7,7,35.0,5.0,1
3,19,1,1,1,55.0,6.0,1
1,8,22,21,25,95.0,15.0,3
1,12,18,17,21,90.0,10.0,3
1,2,2,2,2,127.0,13.0,3
1,13,27,26,34,96.0,12.0,3
1,17,4,4,4,184.0,16.0,3
6,13,1,1,15,89.0,6.0,3
1,5,4,4,4,101.0,16.0,3
1,12,4,4,4,100.0,15.0,3
1,3,4,4,4,20.0,5.0,2
1,8,5,5,5,105.0,10.0,3
1,4,5,5,5,80.0,7.0,3
3,16,38,35,47,255.0,25.0,4
1,6,4,4,18,170.0,20.0,3
1,6,7,7,7,115.0,15.0,3
1,12,4,4,4,100.0,15.0,3
1,1,7,7,7,60.0,5.0,1
1,1,4,4,4,180.0,15.0,3
1,8,26,25,40,20.0,5.0,1
1,5,5,5,27,90.0,10.0,3
1,6,4,4,4,65.0,10.0,2
3,19,1,1,1,170.0,15.0,3
1,9,26,25,40,106.0,8.0,3
1,9,28,27,50,94.0,10.0,3
1,12,2,2,8,55.0,7.0,2
1,9,8,8,10,89.0,14.0,3
2,25,2,2,2,110.0,10.0,3
1,3,8,8,10,40.0,5.0,1
1,25,5,5,29,50.0,5.0,1
1,3,2,2,2,20.0,5.0,1
4,5,23,22,11,107.0,13.0,3
6,6,2,2,2,190.0,15.0,3
1,5,4,4,4,190.0,17.0,3
1,9,29,28,424,57.0,9.0,3
2,17,1,1,15,95.0,13.0,3
6,1,2,2,2,95.0,10.0,3
8,6,19,18,22,55.0,6.0,2
1,11,2,2,2,90.0,9.0,2
1,8,5,5,29,100.0,10.0,3
1,4,4,4,4,80.0,10.0,3
1,9,13,13,17,84.0,7.0,3
1,17,7,7,7,55.0,8.0,2
3,19,24,23,26,90.0,9.0,3
2,7,9,9,11,15.0,3.0,1
1,5,4,4,4,58.0,12.0,2
1,8,7,7,7,90.0,10.0,3
4,13,4,4,4,95.0,9.0,3
1,5,5,5,29,189.0,20.0,4
1,15,4,4,4,140.0,20.0,3
1,5,7,7,7,119.0,12.0,3
1,4,4,4,28,60.0,8.0,2
2,7,15,15,19,100.0,6.0,3
1,5,2,2,2,168.0,17.0,4
1,11,4,4,4,265.0,20.0,3
2,2,3,3,3,120.0,6.0,3
1,11,1,1,1,155.0,11.0,3
1,6,5,5,14,70.0,5.0,2
1,11,2,2,2,205.0,20.0,3
6,8,2,2,14,130.0,12.0,3
2,17,43,39,97,60.0,12.0,2
1,13,5,5,27,108.0,13.0,3
1,11,5,5,43,50.0,7.0,1
2,22,2,2,2,50.0,6.0,1
2,8,26,25,63,65.0,9.0,3
1,18,7,7,7,95.0,10.0,3
1,12,5,5,29,70.0,10.0,3
2,4,41,38,68,20.0,5.0,1
1,6,18,17,21,125.0,15.0,3
1,7,8,8,10,80.0,15.0,3
2,3,3,3,3,60.0,5.0,3
1,8,40,37,49,40.0,6.0,2
1,12,5,5,27,65.0,10.0,3
1,4,4,4,28,95.0,18.0,3
1,9,29,28,424,93.0,11.0,3
1,4,5,5,5,85.0,15.0,2
2,12,23,22,11,300.0,25.0,4
1,13,1,1,16,59.0,10.0,2
1,13,4,4,4,40.0,5.0,1
1,1,7,7,7,45.0,5.0,1
2,6,9,9,45,96.0,9.0,3
2,13,9,9,45,135.0,15.0,3
1,6,5,5,29,105.0,12.0,3
6,14,4,4,4,120.0,15.0,3
1,6,24,23,26,55.0,10.0,2
1,12,1,1,16,75.0,10.0,3
1,3,2,2,2,100.0,10.0,3
1,22,5,5,27,20.0,5.0,1
1,23,14,14,5,45.0,6.0,1
1,4,4,4,28,55.0,10.0,2
5,8,18,17,21,10.0,7.0,2
1,2,2,2,2,104.0,15.0,3
2,4,7,7,7,40.0,5.0,1
1,3,4,4,4,105.0,10.0,3
5,12,14,14,5,95.0,8.0,2
3,7,5,5,14,105.0,10.0,3
1,18,19,18,22,70.0,6.0,3
1,3,4,4,4,85.0,10.0,3
1,17,4,4,4,140.0,16.0,3
1,9,1,1,16,71.0,6.0,3
1,11,5,5,27,130.0,11.0,3
3,7,1,1,15,65.0,6.0,2
1,15,23,22,14,170.0,20.0,3
5,8,86,8,120,110.0,7.0,2
1,4,27,26,95,20.0,5.0,1
1,6,23,22,80,130.0,18.0,3
2,7,27,26,34,20.0,4.0,1
1,2,2,2,2,78.0,11.0,3
2,12,9,9,45,95.0,10.0,3
1,3,5,5,43,125.0,10.0,3
3,19,2,2,2,190.0,20.0,3
2,12,1,1,82,80.0,10.0,3
5,3,9,9,11,105.0,10.0,3
1,5,2,2,2,57.0,10.0,2
1,18,7,7,7,65.0,10.0,3
2,12,5,5,73,90.0,15.0,3
2,3,5,5,27,75.0,8.0,2
1,5,2,2,2,80.0,12.0,3
1,5,4,4,4,100.0,16.0,3
3,19,2,2,2,155.0,16.0,3
1,8,22,21,25,90.0,12.0,3
1,5,4,4,4,75.0,9.0,2
2,3,43,39,11,125.0,10.0,3
2,3,9,9,45,110.0,10.0,3
2,3,6,6,89,70.0,10.0,3
2,3,22,21,25,90.0,10.0,2
1,17,4,4,4,90.0,11.0,3
1,7,10,10,12,85.0,8.0,2
1,3,2,2,14,90.0,10.0,2
1,8,4,4,4,80.0,12.0,3
1,12,4,4,4,40.0,8.0,2
6,17,19,18,22,36.0,7.0,1
1,11,4,4,4,180.0,22.0,3
1,1,4,4,4,200.0,20.0,3
2,7,10,10,12,310.0,20.0,3
1,5,4,4,4,46.0,8.0,1
3,17,5,5,5,160.0,14.0,3
1,1,7,7,7,70.0,8.0,1
1,18,65,56,88,85.0,10.0,3
1,1,7,7,7,105.0,10.0,2
3,19,1,1,1,115.0,8.0,3
1,23,4,4,4,170.0,15.0,3
1,8,2,2,2,170.0,15.0,3
1,10,5,5,29,145.0,18.0,3
1,5,2,2,2,124.0,8.0,3
2,7,24,23,26,90.0,10.0,3
1,14,38,35,47,55.0,5.0,1
1,10,1,1,15,52.0,7.0,2
1,14,4,4,4,30.0,6.0,1
4,7,28,27,14,60.0,5.0,2
1,17,4,4,4,30.0,6.0,1
3,7,5,5,29,25.0,5.0,2
2,2,27,26,34,132.0,9.0,3
3,19,5,5,43,108.0,13.0,3
1,7,5,5,5,90.0,10.0,3
2,7,5,5,14,110.0,6.0,3
1,12,11,11,53,50.0,7.0,2
4,5,24,23,26,20.0,2.0,1
1,6,7,7,7,170.0,20.0,3
1,12,2,2,2,70.0,10.0,3
1,17,4,4,4,57.0,7.0,2
2,5,9,9,11,50.0,6.0,2
1,6,18,17,21,30.0,5.0,1
6,21,2,2,2,125.0,15.0,3
1,7,4,4,4,25.0,5.0,1
1,4,4,4,4,60.0,8.0,3
1,8,2,2,2,90.0,10.0,3
1,12,26,25,99,30.0,6.0,1
1,3,4,4,4,80.0,10.0,3
3,7,1,1,1,95.0,18.0,3
1,12,2,2,8,45.0,7.0,3
6,6,2,2,2,105.0,15.0,3
1,2,2,2,8,51.0,7.0,1
